city,site_code,name
Moradabad,site_5556,"Eco Herbal Park, Moradabad - UPPCB"
Moradabad,site_5554,"Buddhi Vihar, Moradabad - UPPCB"
Moradabad,site_1398,"Lajpat Nagar, Moradabad - UPPCB"
Ariyalur,site_5606,"Keelapalur, Ariyalur - TNPCB"
Bhilai,site_5536,"Civic Center, Bhilai - Bhilai Steel Plant"
Bhilai,site_5660,"32Bungalows, Bhilai - CECB"
Bhilai,site_5659,"Hathkhoj, Bhilai - CECB"
Kalaburagi,site_1565,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB"
Kalaburagi,site_5679,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB"
Faridabad,site_5341,"Sector 30, Faridabad - HSPCB"
Faridabad,site_263,"Sector- 16A, Faridabad - HSPCB"
Faridabad,site_5342,"Sector 11, Faridabad - HSPCB"
Faridabad,site_5340,"New Industrial Town, Faridabad - HSPCB"
Prayagraj,site_5459,"Motilal Nehru NIT, Prayagraj - UPPCB"
Prayagraj,site_5461,"Jhunsi, Prayagraj - UPPCB"
Prayagraj,site_5484,"Nagar Nigam, Prayagraj - UPPCB"
Ahmedabad,site_5454,"SAC ISRO Bopal, Ahmedabad - IITM"
Ahmedabad,site_308,"Maninagar, Ahmedabad - GPCB"
Ahmedabad,site_5455,"SAC ISRO Satellite, Ahmedabad - IITM"
Ahmedabad,site_5450,"Gyaspur, Ahmedabad - IITM"
Ahmedabad,site_5456,"SVPI Airport Hansol, Ahmedabad - IITM"
Ahmedabad,site_5451,"Rakhial, Ahmedabad - IITM"
Ahmedabad,site_5449,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM"
Ahmedabad,site_5453,"Chandkheda, Ahmedabad - IITM"
Ahmedabad,site_5452,"Raikhad, Ahmedabad - IITM"
Madikeri,site_5391,"Stuart Hill, Madikeri - KSPCB"
Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM"
Pune,site_5404,"Mhada Colony, Pune - IITM"
Pune,site_5405,"Alandi, Pune - IITM"
Pune,site_5406,"Bhosari, Pune - IITM"
Pune,site_5766,"Katraj Dairy, Pune - MPCB"
Pune,site_5410,"MIT-Kothrud, Pune - IITM"
Pune,site_5408,"Transport Nagar-Nigdi, Pune - IITM"
Pune,site_5407,"Hadapsar, Pune - IITM"
Pune,site_292,"Karve Road, Pune - MPCB"
Pune,site_5767,"Savitribai Phule Pune University, Pune - MPCB"
Chennai,site_5365,"Kodungaiyur, Chennai - TNPCB"
Chennai,site_5618,"Gandhi Nagar_Ennore, Chennai - TNPCB"
Chennai,site_288,"Velachery Res. Area, Chennai - CPCB"
Chennai,site_5361,"Arumbakkam, Chennai - TNPCB"
Chennai,site_5364,"Royapuram, Chennai - TNPCB"
Chennai,site_293,"Alandur Bus Depot, Chennai - CPCB"
Chennai,site_306,"Manali, Chennai - CPCB"
Chennai,site_5092,"Manali Village, Chennai - TNPCB"
Chennai,site_5363,"Perungudi, Chennai - TNPCB"
Kanpur,site_5416,"IITK, Kanpur - IITK"
Kanpur,site_5500,"FTI Kidwai Nagar, Kanpur - UPPCB"
Kanpur,site_5474,"NSI Kalyanpur, Kanpur - UPPCB"
Kanpur,site_276,"Nehru Nagar, Kanpur - UPPCB"
Firozabad,site_5480,"Nagla Bhau, Firozabad - UPPCB"
Firozabad,site_5584,"Vibhab Nagar, Firozabad - UPPCB"
Kota,site_1394,"Shrinath Puram, Kota - RSPCB"
Kota,site_5707,"Dhanmandi, Kota - RSPCB"
Kota,site_5701,"Nayapura, Kota - RSPCB"
Kollam,site_5334,"Polayathode, Kollam - Kerala PCB"
Kozhikode,site_5271,"Palayam, Kozhikode - Kerala PCB"
Sagar,site_5269,"Deen Dayal Nagar, Sagar - MPPCB"
Sagar,site_5662,"Civil Lines, Sagar - MPPCB"
Mandikhera,site_5055,"General Hospital, Mandikhera - HSPCB"
Kalyan,site_5118,"Khadakpada, Kalyan - MPCB"
Mysuru,site_5125,"Hebbal 1st Stage, Mysuru - KSPCB"
Vatva,site_5067,"Phase-4 GIDC, Vatva - GPCB"
Panipat,site_5048,"Sector-18, Panipat - HSPCB"
Kurukshetra ,site_5043,"Sector-7, Kurukshetra - HSPCB"
Guwahati,site_5651,"IITG, Guwahati - PCBA"
Guwahati,site_5417,"Pan Bazaar, Guwahati - PCBA"
Guwahati,site_5683,"LGBI Airport, Guwahati - PCBA"
Guwahati,site_5073,"Railway Colony, Guwahati - PCBA"
Puducherry,site_5423,"Jawahar Nagar, Puducherry - PPCC"
Korba,site_5656,"Rampur, Korba - CECB"
Korba,site_5657,"Urja Nagar, Korba - CECB"
Amritsar,site_256,"Golden Temple, Amritsar - PPCB"
Jalandhar,site_1438,"Civil Line, Jalandhar - PPCB"
Bagalkot,site_5264,"Vidayagiri, Bagalkot - KSPCB"
Kannur,site_5276,"Thavakkara, Kannur - Kerala PCB"
Aizawl,site_5346,"Sikulpuikawn, Aizawl - Mizoram PCB"
Ramanathapuram,site_5625,"Chalai Bazaar, Ramanathapuram - TNPCB"
Durgapur,site_299,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB"
Durgapur,site_5983,"PCBL Residential Complex, Durgapur - WBPCB"
Anantapur,site_5632,"Gulzarpet, Anantapur - APPCB"
Bareilly,site_5601,"Rajendra Nagar, Bareilly - UPPCB"
Bareilly,site_5628,"Civil Lines, Bareilly - UPPCB"
Nalbari,site_5668,"Bata Chowk, Nalbari - PCBA"
Baripada,site_5670,"Meher Colony, Baripada - OSPCB"
Rourkela,site_5675,"Raghunathpali, Rourkela - OSPCB"
Rourkela,site_5687,"Fertilizer Township, Rourkela - OSPCB"
Rourkela,site_5688,"Sector-2, Rourkela - OSPCB"
Jodhpur,site_136,"Collectorate, Jodhpur - RSPCB"
Jodhpur,site_5694,"Samrat Ashok Udhyan, Jodhpur - RSPCB"
Jodhpur,site_5726,"Digari Kalan, Jodhpur - RSPCB"
Jodhpur,site_5773,"Mandor, Jodhpur - RSPCB"
Jodhpur,site_5720,"Jhalamand, Jodhpur - RSPCB"
Satna,site_1433,"Bandhavgar Colony, Satna - Birla Cement"
Kolkata,site_5238,"Ballygunge, Kolkata - WBPCB"
Kolkata,site_5126,"Rabindra Sarobar, Kolkata - WBPCB"
Kolkata,site_5110,"Fort William, Kolkata - WBPCB"
Kolkata,site_309,"Victoria, Kolkata - WBPCB"
Kolkata,site_296,"Rabindra Bharati University, Kolkata - WBPCB"
Kolkata,site_5129,"Bidhannagar, Kolkata - WBPCB"
Kolkata,site_5111,"Jadavpur, Kolkata - WBPCB"
Charkhi Dadri,site_5339,"Mini Secretariat, Charkhi Dadri - HSPCB"
Tumakuru,site_5682,"Thimmalapura, Tumakuru - KSPCB"
Churu,site_5699,"Subash Chowk, Churu - RSPCB"
Tonk,site_5702,"Shastri Nagar, Tonk - RSPCB"
Barmer,site_5714,"Railway Colony, Barmer - RSPCB"
Sri Ganganagar,site_5719,"Old City, Sri Ganganagar - RSPCB"
Pratapgarh,site_5721,"Pragati Nagar, Pratapgarh - RSPCB"
Kolhapur,site_5769,"Sinchan Bhavan, Kolhapur - MPCB"
Kolhapur,site_5768,"Shivaji University, Kolhapur - MPCB"
Bundi,site_5771,"New Colony, Bundi - RSPCB"
Pimpri-Chinchwad,site_5764,"Park Street Wakad, Pimpri Chinchwad - MPCB"
Pimpri-Chinchwad,site_5765,"Thergaon, Pimpri Chinchwad - MPCB"
Pimpri-Chinchwad,site_5763,"Gavalinagar, Pimpri Chinchwad - MPCB"
Siliguri,site_1419,"Ward-32 Bapupara, Siliguri - WBPCB"
Howrah,site_5101,"Belur Math, Howrah - WBPCB"
Howrah,site_1416,"Padmapukur, Howrah - WBPCB"
Howrah,site_274,"Ghusuri, Howrah - WBPCB"
Mahad,site_5783,"Kamble Tarf Birwadi, Mahad - MPCB"
Jalgaon,site_5790,"Prabhat Colony, Jalgaon - MPCB"
Nanded,site_5795,"Sneh Nagar, Nanded - MPCB"
Navi Mumbai,site_5803,"Tondare-Taloja, Navi Mumbai - MPCB"
Navi Mumbai,site_5815,"Sanpada, Navi Mumbai - MPCB"
Navi Mumbai,site_5114,"Mahape, Navi Mumbai - MPCB"
Navi Mumbai,site_5401,"Sector-19A Nerul, Navi Mumbai - IITM"
Navi Mumbai,site_5103,"Nerul, Navi Mumbai - MPCB"
Navi Mumbai,site_5805,"Kopripada-Vashi, Navi Mumbai - MPCB"
Navi Mumbai,site_5799,"Sector-2E Kalamboli, Navi Mumbai - MPCB"
Navi Mumbai,site_261,"Airoli, Navi Mumbai - MPCB"
Virar,site_5808,"Bolinj, Virar - MPCB"
Dhanbad,site_5827,"Kalakusuma, Dhanbad - DMC"
Dhanbad,site_5710,"Sardar Patel Nagar, Dhanbad - JSPCB"
Manguraha,site_5550,"Forest Rest House, Manguraha - BSPCB"
Agartala,site_5377,"Kunjaban, Agartala - Tripura SPCB"
Agartala,site_5587,"Bardowali, Agartala - Tripura SPCB"
Shillong,site_5593,"JN Stadium, Shillong - Meghalaya PCB"
Shillong,site_5131,"Lumpyngngad, Shillong - Meghalaya PCB"
Karwar,site_5853,"KHB Colony, Karwar - KSPCB"
Rajamahendravaram,site_1399,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
Byasanagar,site_5942,"Ferro Chrome Colony, Byasanagar - OSPCB"
Barrackpore,site_5959,"SVSPA Campus, Barrackpore - WBPCB"
Agra,site_307,"Sanjay Palace, Agra - UPPCB"
Agra,site_5501,"Shahjahan Garden, Agra - UPPCB"
Agra,site_5463,"Shastripuram, Agra - UPPCB"
Agra,site_5482,"Rohta, Agra - UPPCB"
Agra,site_5465,"Sector-3B Avas Vikas Colony, Agra - UPPCB"
Agra,site_5464,"Manoharpur, Agra - UPPCB"
Greater Noida,site_1541,"Knowledge Park - III, Greater Noida - UPPCB"
Greater Noida,site_5121,"Knowledge Park - V, Greater Noida - UPPCB"
Ghaziabad,site_5081,"Sanjay Nagar, Ghaziabad - UPPCB"
Ghaziabad,site_144,"Vasundhara, Ghaziabad - UPPCB"
Ghaziabad,site_5082,"Indirapuram, Ghaziabad - UPPCB"
Ghaziabad,site_5083,"Loni, Ghaziabad - UPPCB"
Meerut,site_5257,"Pallavpuram Phase 2, Meerut - UPPCB"
Meerut,site_5258,"Ganga Nagar, Meerut - UPPCB"
Meerut,site_5109,"Jai Bhim Nagar, Meerut - UPPCB"
Dharuhera,site_5044,"Municipal Corporation Office, Dharuhera -  HSPCB"
Gurugram,site_5025,"NISE Gwal Pahari, Gurugram - IMD"
Gurugram,site_5345,"Sector-51, Gurugram - HSPCB"
Gurugram,site_5344,"Teri Gram, Gurugram - HSPCB"
Gurugram,site_146,"Vikas Sadan, Gurugram - HSPCB"
Nagpur,site_303,"Opp GPO Civil Lines, Nagpur - MPCB"
Nagpur,site_5796,"Mahal, Nagpur - MPCB"
Nagpur,site_5792,"Ambazari, Nagpur - MPCB"
Nagpur,site_5793,"Ram Nagar, Nagpur - MPCB"
Muzaffarpur,site_5479,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB"
Muzaffarpur,site_158,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
Muzaffarpur,site_5370,"Buddha Colony, Muzaffarpur - BSPCB"
Bihar Sharif,site_5481,"D M Colony, Bihar Sharif - BSPCB"
Purnia,site_5549,"Mariam Nagar, Purnia - BSPCB"
Saharsa,site_5551,"Police Line, Saharsa - BSPCB"
Chandigarh,site_5582,"Sector-53, Chandigarh - CPCC"
Chandigarh,site_5127,"Sector-25, Chandigarh - CPCC"
Chandigarh,site_5491,"Sector 22, Chandigarh - CPCC"
Jind,site_5056,"Police Lines, Jind - HSPCB"
Lucknow,site_5462,"Kukrail Picnic Spot-1, Lucknow - UPPCB"
Lucknow,site_272,"Kendriya Vidyalaya, Lucknow - CPCB"
Lucknow,site_277,"Lalbagh, Lucknow - CPCB"
Lucknow,site_5460,"B R Ambedkar University, Lucknow - UPPCB"
Lucknow,site_1405,"Nishant Ganj, Lucknow - UPPCB"
Lucknow,site_5128,"Gomti Nagar, Lucknow - UPPCB"
Lucknow,site_297,"Talkatora District Industries Center, Lucknow - CPCB"
Hassan,site_5448,"B.Katihalli, Hassan - KSPCB"
Srinagar,site_5424,"Rajbagh, Srinagar - JKSPCB"
Dehradun,site_5594,"Doon University, Dehradun - UKPCB"
Karnal,site_5049,"Sector-12, Karnal - HSPCB"
Brajrajnagar,site_1410,"GM Office, Brajrajnagar - OSPCB"
Chikkamagaluru,site_5265,"Kalyana Nagara, Chikkamagaluru - KSPCB"
Pali,site_1395,"Indira Colony Vistar, Pali - RSPCB"
Alwar,site_1390,"Moti Doongri, Alwar - RSPCB"
Vijayawada,site_257,"PWD Grounds, Vijayawada - APPCB"
Vijayawada,site_5981,"Rajiv Nagar, Vijayawada - APPCB"
Vijayawada,site_5848,"HB Colony, Vijayawada - APPCB"
Vijayawada,site_5685,"Kanuru, Vijayawada - APPCB"
Vijayawada,site_5849,"Rajiv Gandhi Park, Vijayawada - APPCB"
Mandideep,site_1403,"Sector-D Industrial Area, Mandideep - MPPCB"
Talcher,site_1408,"Talcher Coalfields,Talcher - OSPCB"
Raipur,site_5652,"AIIMS, Raipur - CECB"
Raipur,site_5653,"Siltara Phase-II, Raipur - CECB"
Raipur,site_5655,"Bhatagaon New ISBT, Raipur - CECB"
Raipur,site_5654,"Krishak Nagar, Raipur - CECB"
Surat,site_5664,"Science Center, Surat - SMC"
Kanchipuram,site_5619,"Kilambi, Kanchipuram - TNPCB"
Tirupur,site_5607,"Kumaran College, Tirupur - TNPCB"
Dharwad,site_5638,"Kalabhavan, Dharwad - KSPCB"
Keonjhar,site_5671,"Jagamohanpur, Keonjhar - OSPCB"
Suakati,site_5676,"OMC Colony, Suakati - OSPCB"
Chandrapur,site_295,"MIDC Khutala, Chandrapur - MPCB"
Chandrapur,site_271,"Chauhan Colony, Chandrapur - MPCB"
Byrnihat,site_5669,"Central Academy for SFS, Byrnihat - PCBA"
Kunjemura,site_5690,"OP Jindal School, Kunjemura - CECB"
Bharatpur,site_5695,"Krishna Nagar, Bharatpur - RSPCB"
Rishikesh,site_5703,"Shivaji Nagar, Rishikesh - UKPCB"
Bhopal,site_5708,"Idgah Hills, Bhopal - MPPCB"
Bhopal,site_5247,"T T Nagar, Bhopal - MPPCB"
Bhopal,site_5650,"Paryavaran Parisar, Bhopal - MPPCB"
Hanumangarh,site_5715,"Housing Board, Hanumangarh - RSPCB"
Sikar,site_5722,"Radhakishan Pura, Sikar - RSPCB"
Jaipur,site_5727,"Sector-2 Murlipura, Jaipur - RSPCB"
Jaipur,site_1396,"Shastri Nagar, Jaipur - RSPCB"
Jaipur,site_5728,"RIICO Sitapura, Jaipur - RSPCB"
Jaipur,site_1393,"Adarsh Nagar, Jaipur - RSPCB"
Jaipur,site_5725,"Mansarovar Sector-12, Jaipur - RSPCB"
Jaipur,site_134,"Police Commissionerate, Jaipur - RSPCB"
Patna,site_5335,"Govt. High School Shikarpur, Patna - BSPCB"
Patna,site_5261,"Muradpur, Patna - BSPCB"
Patna,site_5336,"DRM Office Danapur, Patna - BSPCB"
Patna,site_157,"IGSC Planetarium Complex, Patna - BSPCB"
Patna,site_5263,"Samanpura, Patna - BSPCB"
Patna,site_5262,"Rajbansi Nagar, Patna - BSPCB"
Jaisalmer,site_5772,"Sadar Bazar, Jaisalmer - RSPCB"
Akola,site_5784,"Ramdaspeth, Akola - MPCB"
Jalna,site_5791,"Old MIDC, Jalna - MPCB"
Belapur,site_5804,"CBD Belapur, Belapur - MPCB"
Boisar,site_5809,"Khaira, Boisar - MPCB"
Jabalpur,site_5816,"Suhagi, Jabalpur - JMC"
Jabalpur,site_5817,"Gupteshwar, Jabalpur - JMC"
Jabalpur,site_5249,"Marhatal, Jabalpur - MPPCB"
Jabalpur,site_5965,"Govindh Bhavan Colony, Jabalpur - JMC"
Cuddalore,site_5621,"Kudikadu, Cuddalore - TNPCB"
Cuddalore,site_5611,"Semmandalam, Cuddalore - TNPCB"
Coimbatore,site_5094,"SIDCO Kurichi, Coimbatore - TNPCB"
Coimbatore,site_5623,"PSG College of Arts and Science, Coimbatore - TNPCB"
Ernakulam,site_5272,"Kacheripady, Ernakulam - Kerala PCB"
Sirsa,site_5051,"F-Block, Sirsa - HSPCB"
Thiruvananthapuram,site_252,"Plammoodu, Thiruvananthapuram - Kerala PCB"
Thiruvananthapuram,site_5331,"Kariavattom, Thiruvananthapuram - Kerala PCB"
Maihar,site_5068,"Sahilara, Maihar - KJS Cements"
Palkalaiperur,site_5626,"Bharathidasan University, Palkalaiperur - TNPCB"
Bhubaneswar,site_5943,"Patia, Bhubaneswar - OSPCB"
Bhubaneswar,site_5940,"Lingraj Mandir, Bhubaneswar - OSPCB"
Bulandshahr,site_1542,"Yamunapuram, Bulandshahr - UPPCB"
Indore,site_5854,"Residency Area, Indore - IMC"
Indore,site_5709,"Vijay Nagar Scheme-78, Indore - Glenmark"
Indore,site_5855,"Regional Park, Indore - IMC"
Indore,site_5248,"Chhoti Gwaltoli, Indore - MPPCB"
Indore,site_5856,"Maguda Nagar, Indore - IMC"
Virudhunagar,site_5979,"Collectorate Office, Virudhunagar - TNPCB"
Yadgir,site_5254,"Collector Office, Yadgir - KSPCB"
Gwalior,site_5273,"City Center, Gwalior - MPPCB"
Gwalior,site_5275,"Phool Bagh, Gwalior - Mondelez Ind. Food"
Gwalior,site_5667,"Deen Dayal Nagar, Gwalior - MPPCB"
Gwalior,site_5661,"Maharaj Bada, Gwalior - MPPCB"
Thoothukudi,site_5367,"Meelavittan, Thoothukudi - TNPCB"
Gummidipoondi,site_5362,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB"
Bidar,site_5418,"Naubad, Bidar - KSPCB"
Haveri,site_5420,"Ashwini Nagar, Haveri - KSPCB"
Bahadurgarh,site_5045,"Arya Nagar, Bahadurgarh - HSPCB"
Tirupati,site_258,"Tirumala, Tirupati - APPCB"
Tirupati,site_5666,"Vaikuntapuram, Tirupati - APPCB"
Ambala,site_5052,"Patti Mehar, Ambala - HSPCB"
Gangtok,site_5590,"Zero Point GICI, Gangtok - SSPCB"
Arrah,site_5538,"New DM Office, Arrah - BSPCB"
Chhapra,site_5545,"Darshan Nagar, Chhapra - BSPCB"
Samastipur,site_5552,"DM Office_Kasipur, Samastipur - BSPCB"
Jhansi,site_5583,"Shivaji Nagar, Jhansi - UPPCB"
Vapi,site_5071,"Phase-1 GIDC, Vapi - GPCB"
Dewas,site_1404,"Bhopal Chauraha, Dewas - MPPCB"
Hisar,site_5057,"Urban Estate-II, Hisar - HSPCB"
Damoh,site_5040,"Shrivastav Colony, Damoh - MPPCB"
Nashik,site_304,"Gangapur Road, Nashik - MPCB"
Nashik,site_5782,"Hirawadi, Nashik - MPCB"
Nashik,site_5779,"Pandav Nagari, Nashik - MPCB"
Nashik,site_5781,"MIDC Ambad, Nashik - MPCB"
Shivamogga,site_5266,"Vinoba Nagara, Shivamogga - KSPCB"
Ludhiana,site_253,"Punjab Agricultural University, Ludhiana - PPCB"
Belgaum,site_5432,"Ramteerth Nagar, Belgaum - KSPCB"
Hubballi,site_1447,"Deshpande Nagar, Hubballi - KSPCB"
Hubballi,site_5680,"Lingaraj Nagar, Hubballi - KSPCB"
Salem,site_5622,"Sona College of Technology, Salem - TNPCB"
Vellore,site_5615,"Vasanthapuram, Vellore - TNPCB"
Chittoor,site_5665,"Gangineni Cheruvu, Chittoor - APPCB"
Rairangpur,site_5672,"Divisional Forest Office, Rairangpur - OSPCB"
Visakhapatnam,site_260,"GVM Corporation, Visakhapatnam - APPCB"
Bhiwadi,site_1391,"RIICO Ind. Area III, Bhiwadi - RSPCB"
Bhiwadi,site_5982,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB"
Tensa,site_5677,"Barsua Iron Ore Mines, Tensa - OSPCB"
Silchar,site_5684,"Tarapur, Silchar - PCBA"
Milupara,site_5691,"Govt. Higher Secondary School, Milupara - CECB"
Bikaner,site_5696,"MM Ground, Bikaner - RSPCB"
Kashipur,site_5704,"Govt. Girls Inter College, Kashipur - UKPCB"
