site_id,pollutant
site_1563,NO2
site_161,NO2
site_163,NO2
site_251,NO2
site_252,NO2
site_253,NO2
site_256,NO2
site_258,NO2
site_260,NO2
site_274,NO2
site_277,NO2
site_293,NO2
site_294,NO2
site_297,NO2
site_298,NO2
site_306,NO2
site_308,NO2
site_309,NO2
site_5024,NO2
site_5025,NO2
site_5039,NO2
site_5043,NO2
site_5044,NO2
site_5045,NO2
site_5049,NO2
site_5050,NO2
site_5051,NO2
site_5052,NO2
site_5054,NO2
site_5055,NO2
site_5056,NO2
site_5060,NO2
site_5067,NO2
site_5073,NO2
site_103,Ozone
site_105,Ozone
site_108,Ozone
site_109,Ozone
site_111,Ozone
site_113,Ozone
site_115,Ozone
site_117,Ozone
site_118,Ozone
site_122,Ozone
site_124,Ozone
site_125,Ozone
site_136,Ozone
site_1390,Ozone
site_1391,Ozone
site_1392,Ozone
site_1393,Ozone
site_1394,Ozone
site_1395,Ozone
site_1396,Ozone
site_1397,Ozone
site_1399,Ozone
site_1400,Ozone
site_1401,Ozone
site_1402,Ozone
site_1404,Ozone
site_1416,Ozone
site_1419,Ozone
site_1420,Ozone
site_1421,Ozone
site_1422,Ozone
site_1423,Ozone
site_1424,Ozone
site_1425,Ozone
site_1426,Ozone
site_1427,Ozone
site_1428,Ozone
site_1429,Ozone
site_1430,Ozone
site_1431,Ozone
site_1432,Ozone
site_1434,Ozone
site_1435,Ozone
site_1437,Ozone
site_1438,Ozone
site_1450,Ozone
site_1542,Ozone
site_1553,Ozone
site_1554,Ozone
site_1555,Ozone
site_1557,Ozone
site_1560,Ozone
site_1561,Ozone
site_1562,Ozone
site_1563,Ozone
site_161,Ozone
site_162,Ozone
site_198,Ozone
site_251,Ozone
site_252,Ozone
site_253,Ozone
site_256,Ozone
site_258,Ozone
site_273,Ozone
site_274,Ozone
site_276,Ozone
site_277,Ozone
site_293,Ozone
site_294,Ozone
site_298,Ozone
site_301,Ozone
site_304,Ozone
site_307,Ozone
site_308,Ozone
site_309,Ozone
site_5024,Ozone
site_5025,Ozone
site_5039,Ozone
site_5043,Ozone
site_5044,Ozone
site_5045,Ozone
site_5049,Ozone
site_5050,Ozone
site_5051,Ozone
site_5052,Ozone
site_5053,Ozone
site_5054,Ozone
site_5055,Ozone
site_5056,Ozone
site_5060,Ozone
site_5065,Ozone
site_5067,Ozone
site_5073,Ozone
